KO	Replicate	Depth	Layer	Sample	Element	General.Process	Specific.Process	Gene.products..enzymes	Gene.clusters	KEGG_Homologs_per_Gene_Cluster	KEGG_Description	KEGG_Metabolism	CPM
K02094	9.4_C_3A	9.0	Top	9_Top	Carbon	Oxygenic Photosynthesis	Photopigment Biosynthesis	Enzymes of Chlorophyll, Phycobilin, and Carotenoid Pathways	apc	6	apcC; phycobilisome core linker protein	Photosynthesis_Proteins	0
K02094	9.4_A_3D	9.0	Top	9_Top	Carbon	Oxygenic Photosynthesis	Photopigment Biosynthesis	Enzymes of Chlorophyll, Phycobilin, and Carotenoid Pathways	apc	6	apcC; phycobilisome core linker protein	Photosynthesis_Proteins	0
K02094	9.4_B_3B	9.0	Top	9_Top	Carbon	Oxygenic Photosynthesis	Photopigment Biosynthesis	Enzymes of Chlorophyll, Phycobilin, and Carotenoid Pathways	apc	6	apcC; phycobilisome core linker protein	Photosynthesis_Proteins	0
K02094	9.4_B_3C_2	9.0	Top	9_Top	Carbon	Oxygenic Photosynthesis	Photopigment Biosynthesis	Enzymes of Chlorophyll, Phycobilin, and Carotenoid Pathways	apc	6	apcC; phycobilisome core linker protein	Photosynthesis_Proteins	0
K02094	9.4_C_3B	9.0	Top	9_Top	Carbon	Oxygenic Photosynthesis	Photopigment Biosynthesis	Enzymes of Chlorophyll, Phycobilin, and Carotenoid Pathways	apc	6	apcC; phycobilisome core linker protein	Photosynthesis_Proteins	0
K02094	9.4_B_3C	9.0	Top	9_Top	Carbon	Oxygenic Photosynthesis	Photopigment Biosynthesis	Enzymes of Chlorophyll, Phycobilin, and Carotenoid Pathways	apc	6	apcC; phycobilisome core linker protein	Photosynthesis_Proteins	0
K02095	9.4_A_3C	9.0	Top	9_Top	Carbon	Oxygenic Photosynthesis	Photopigment Biosynthesis	Enzymes of Chlorophyll, Phycobilin, and Carotenoid Pathways	apc	6	apcD; allophycocyanin-B	Photosynthesis-Antenna_Proteins	5
K02095	9.4_B_3B	9.0	Top	9_Top	Carbon	Oxygenic Photosynthesis	Photopigment Biosynthesis	Enzymes of Chlorophyll, Phycobilin, and Carotenoid Pathways	apc	6	apcD; allophycocyanin-B	Photosynthesis-Antenna_Proteins	6
K02095	9.4_A_3D	9.0	Top	9_Top	Carbon	Oxygenic Photosynthesis	Photopigment Biosynthesis	Enzymes of Chlorophyll, Phycobilin, and Carotenoid Pathways	apc	6	apcD; allophycocyanin-B	Photosynthesis-Antenna_Proteins	3
K02095	9.4_B_3C	9.0	Top	9_Top	Carbon	Oxygenic Photosynthesis	Photopigment Biosynthesis	Enzymes of Chlorophyll, Phycobilin, and Carotenoid Pathways	apc	6	apcD; allophycocyanin-B	Photosynthesis-Antenna_Proteins	7
K02095	9.4_B_3C_2	9.0	Top	9_Top	Carbon	Oxygenic Photosynthesis	Photopigment Biosynthesis	Enzymes of Chlorophyll, Phycobilin, and Carotenoid Pathways	apc	6	apcD; allophycocyanin-B	Photosynthesis-Antenna_Proteins	8
K02095	9.4_C_3B	9.0	Top	9_Top	Carbon	Oxygenic Photosynthesis	Photopigment Biosynthesis	Enzymes of Chlorophyll, Phycobilin, and Carotenoid Pathways	apc	6	apcD; allophycocyanin-B	Photosynthesis-Antenna_Proteins	4
K02095	9.4_C_3A	9.0	Top	9_Top	Carbon	Oxygenic Photosynthesis	Photopigment Biosynthesis	Enzymes of Chlorophyll, Phycobilin, and Carotenoid Pathways	apc	6	apcD; allophycocyanin-B	Photosynthesis-Antenna_Proteins	14
K02096	9.4_B_3B	9.0	Top	9_Top	Carbon	Oxygenic Photosynthesis	Photopigment Biosynthesis	Enzymes of Chlorophyll, Phycobilin, and Carotenoid Pathways	apc	6	apcE; phycobilisome core-membrane linker protein	Photosynthesis_Proteins	15
K02096	9.4_A_3C	9.0	Top	9_Top	Carbon	Oxygenic Photosynthesis	Photopigment Biosynthesis	Enzymes of Chlorophyll, Phycobilin, and Carotenoid Pathways	apc	6	apcE; phycobilisome core-membrane linker protein	Photosynthesis_Proteins	9
